Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Turkey,renewables_n_other,2019,1.195933712,1.187053159,2338.015,83524.67,79.12632328,2.826756903,0,27991.90946,Oceania
Turkmenistan,renewables_n_other,2019,-0.010915729,2.67E-06,110.936,5940.01,330.6225673,17.70301215,0,18676.06283,Oceania
Turks and Caicos Islands,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
Tuvalu,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
U.S. Pacific Islands,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
U.S. Territories,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
U.S. Virgin Islands,renewables_n_other,2019,6.45E-05,6.45E-05,1.883,95.668,,,0,19682.65251,Oceania
Uganda,renewables_n_other,2019,0.048279948,0.048945288,103.1059,44216.2,2.946192769,1.263452903,0,2331.858007,Oceania
Ukraine,renewables_n_other,2019,0.126418124,0.120536604,487.698,42153.2,82.57129772,7.136884766,0,11569.65545,Oceania
United Arab Emirates,renewables_n_other,2019,0.03184501,0.031671528,663.292,9764.9,471.7884884,6.945609792,0,67926.14364,Oceania
United Kingdom,renewables_n_other,2019,1.209745462,1.135345443,2992.817,66827.7,121.1391596,2.704960382,0,44784.07906,Oceania
United States of America,renewables_n_other,2019,11.43613602,11.59513843,19925.43,330043.8,304.3052708,5.04049689,0,60372.07789,Oceania
Uruguay,renewables_n_other,2019,0.128017232,0.13986732,78.0812,3461.37,66.90945355,2.96612213,0,22557.88893,Oceania
Uzbekistan,renewables_n_other,2019,0.062413332,0.057936788,257.435,32966.1,57.70872442,7.389949231,0,7809.082664,Oceania
Vanuatu,renewables_n_other,2019,8.99E-05,8.99E-05,0.761102,299.933,10.87585222,4.285926175,0,2537.573391,Oceania
Venezuela,renewables_n_other,2019,0.638969662,0.641951688,190.1472,28515.85,85.82857353,12.87147393,0,6668.123167,Oceania
Vietnam,renewables_n_other,2019,0.569337078,0.540819248,915.504,96425.9,36.39152497,3.832954905,0,9494.378585,Oceania
Wake Island,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
Western Sahara,renewables_n_other,2019,0,0,,,0,0,0,#DIV/0!,Oceania
Yemen,renewables_n_other,2019,0.004452,0.004452,53.0838,29162.2,5.45293802,2.995634621,0,1820.294765,Oceania
Zambia,renewables_n_other,2019,0.120811044,0.12346558,247.1819,17873.85,11.58656679,0.837830589,0,13829.24776,Oceania
Zimbabwe,renewables_n_other,2019,0.068089201,0.067499237,37.6204,14654.2,11.50870117,4.482961605,0,2567.209401,Oceania
