Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Kyrgyzstan,all_energy_types,2019,0.224935719,0.164840151,29.7684,6412.7,35.07660093,7.556191088,9.123794565,4642.100831,Asia
Laos,all_energy_types,2019,0.524710062,0.495070249,53.3016,7168.05,73.20122801,9.844170952,29.94530902,7435.997238,Asia
Latvia,all_energy_types,2019,0.165169867,0.031343872,55.5939,1906.29,86.64466939,2.971007014,7.87244579,29163.40116,Europe
Lebanon,all_energy_types,2019,0.365246987,0.00703416,92.4576,6823.42,53.52843403,3.950426869,25.47835456,13550.03796,Asia
Lesotho,all_energy_types,2019,0.016625824,0.004460904,6.32009,2125.34,7.822665503,2.630630877,0.71763765,2973.684211,Africa
Liberia,all_energy_types,2019,0.018725702,3.56E-05,5.60223,4940.59,3.790175202,3.342544255,1.34566552,1133.919228,Africa
Libya,all_energy_types,2019,0.598120048,2.893585931,84.2519,6774.43,88.29083007,7.09918765,39.86645199,12436.75114,Africa
Lithuania,all_energy_types,2019,0.284020724,0.030514251,97.4069,2794.09,101.6505279,2.915817294,14.25507877,34861.76179,Europe
Luxembourg,all_energy_types,2019,0.192715818,0.007763665,66.2214,621.528,310.0677978,2.910174327,11.16956511,106546.125,Europe
Macau,all_energy_types,2019,0.052136739,0.001932168,79.3202,640.421,81.41010186,0.657294596,2.013405144,123856.3383,Asia
Madagascar,all_energy_types,2019,0.062257291,0.006807108,43.6525,26984.2,2.307175708,1.426202182,3.391414709,1617.705917,Africa
Malawi,all_energy_types,2019,0.033696492,0.013641156,28.3955,18643.4,1.807422035,1.186684227,1.508163994,1523.085918,Africa
Malaysia,all_energy_types,2019,3.960816328,4.514935802,908.76,32005.27,123.7551293,4.358484449,247.4289839,28394.07385,Asia
Maldives,all_energy_types,2019,0.031692783,2.23E-05,10.0602,525.827,60.27226274,3.150313423,2.036072914,19132.14803,Asia
Mali,all_energy_types,2019,0.086468843,0.00930468,43.3564,19671.4,4.395662891,1.994373218,5.257908981,2204.03225,Africa
Malta,all_energy_types,2019,0.137768729,0.001946236,21.5613,514.564,267.7387639,6.38963,9.191731982,41902.07632,Europe
Martinique,all_energy_types,2019,0.031521282,0.00085522,7.25285,375.492,83.94661377,4.346054571,2.24158345,19315.59128,Africa
Mauritania,all_energy_types,2019,0.061403949,0.004086936,19.2667,4528.99,13.55797847,3.187050657,3.87875476,4254.08314,Africa
Mauritius,all_energy_types,2019,0.100846781,0.006268416,27.95627,1269.345,79.44788919,3.607304583,6.938191586,22024.16995,Africa
Mexico,all_energy_types,2019,7.986493522,5.909856871,2384.142,127745.8,62.51863875,3.3498397,456.1483385,18663.17327,North America
Micronesia,all_energy_types,2019,0.002459784,0,,,0,0,0.18151256,#DIV/0!,Oceania
Moldova,all_energy_types,2019,0.143117142,0.003341193,30.9415,3542.7,40.3977594,4.625410605,7.975804163,8733.875293,Europe
Mongolia,all_energy_types,2019,0.267832652,1.484386469,39.254,3223.46,83.08856089,6.823066503,20.90183682,12177.59798,Asia
Montenegro,all_energy_types,2019,0.048534418,0.033207896,11.9806,627.896,77.29690515,4.051084049,2.524134994,19080.54837,Europe
Montserrat,all_energy_types,2019,0.00046618,0,,,0,0,0.033486782,#DIV/0!,Central America and Caribbean
Morocco,all_energy_types,2019,0.896850429,0.064064316,275.648,36467.5,24.59314263,3.253607605,59.02569629,7558.730376,Africa
Mozambique,all_energy_types,2019,0.246340262,0.686034337,38.10749,30386.6,8.106871515,6.46435286,7.785808405,1254.088644,Africa
Namibia,all_energy_types,2019,0.074372738,0.008868384,24.41,2494.82,29.81086326,3.046814333,3.90852628,9784.273014,Africa
Nauru,all_energy_types,2019,0.000911525,0,,,0,0,0.083366555,#DIV/0!,Oceania
Nepal,all_energy_types,2019,0.149321161,0.038163127,101.266,28635.4,5.214565219,1.474543883,8.30706762,3536.392018,Asia
Netherlands,all_energy_types,2019,3.817956343,1.411144683,934.921,17360.55,219.9213932,4.083720809,216.8303554,53853.19014,Europe
Netherlands Antilles,all_energy_types,2019,0.191219495,0.00271572,2.80876,163.395,,,14.496783,17189.99969,Europe
New Caledonia,all_energy_types,2019,0.075839217,0.00360612,,,0,0,6.032140267,#DIV/0!,Oceania
New Zealand,all_energy_types,2019,0.925824102,0.594691827,198.6641,4956.083,186.8056088,4.660248642,38.96226279,40084.90173,Oceania
